event_id,t_peak_s,window_s,n_frames,n_detections,naive_n_players_track_ids,dedup_n_players_median,dedup_n_players_mean,per_frame_p25,per_frame_p75,per_frame_max,inflation_factor,mean_conf,median_bbox_h
data_2_seg01_ko_001,9.0,6.0,151,631,16,2,4.18,1,7,16,8.0,0.612,57.0
data_2_seg01_ko_002,23.0,6.0,151,1212,35,8,8.03,7,9,13,4.38,0.618,101.2
data_2_seg01_ko_003,47.0,6.0,151,1147,41,8,7.6,6,9,13,5.12,0.675,104.2
data_2_seg01_ko_004,62.0,6.0,151,1234,38,10,8.17,1,13,17,3.8,0.7,62.7
data_2_seg01_ko_005,89.0,6.0,151,726,22,6,4.81,2,7,9,3.67,0.665,63.0
data_2_seg02_ko_001,174.0,6.0,151,1090,26,8,7.22,5,10,12,3.25,0.645,115.5
data_2_seg03_ko_001,225.0,6.0,151,1393,31,9,9.23,7,11,14,3.44,0.568,77.9
data_2_seg04_ko_001,262.0,6.0,151,1550,33,10,10.26,9,11,14,3.3,0.682,71.2
data_2_seg05_ko_001,314.0,6.0,151,1156,37,9,7.66,2,11,17,4.11,0.661,158.3
data_2_seg06_ko_001,349.0,6.0,150,1014,28,7,6.76,2,9,16,4.0,0.639,66.5
data_2_seg06_ko_002,371.0,6.0,151,1170,29,11,7.75,1,12,14,2.64,0.728,69.4
data_2_seg07_ko_001,448.0,6.0,151,2598,58,16,17.21,13,21,24,3.62,0.644,50.4
data_2_seg07_ko_002,470.0,6.0,151,1528,29,10,10.12,9,11,14,2.9,0.739,71.9
data_2_seg08_ko_001,518.0,6.0,151,2977,52,20,19.72,18,22,25,2.6,0.578,34.7
data_2_seg08_ko_002,548.0,6.0,151,637,20,2,4.22,1,8,14,10.0,0.75,117.9
data_2_seg09_ko_001,594.0,6.0,151,300,7,2,1.99,1,3,4,3.5,0.713,384.5
data_2_seg09_ko_002,623.0,6.0,151,3170,50,21,20.99,20,22,25,2.38,0.576,34.0
data_2_seg09_ko_003,657.0,6.0,151,2478,71,20,16.41,5,24,27,3.55,0.549,35.5
data_2_seg10_ko_001,702.0,6.0,151,1360,31,9,9.01,8,12,17,3.44,0.505,71.8
